Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Kitche0.0001bvGr,KitchenQual,TotRmsAbvGrd,Functio0.0001l,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1.00,60.00,RL,65.00,8450.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.00,5.00,2003.00,2003.00,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.00,Gd,TA,PConc,Gd,TA,No,GLQ,706.00,Unf,0.00,150.00,856.00,GasA,Ex,Y,SBrkr,856.00,854.00,0.00,1710.00,1.00,0.00,2.00,1.00,3.00,1.00,Gd,8.00,Typ,0.00,Attchd,2003.00,RFn,2.00,548.00,TA,TA,Y,0.00,61.00,0.00,0.00,0.00,0.00,0.00,2.00,2008.00,WD,Normal,208500.00
2.00,20.00,RL,80.00,9600.00,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6.00,8.00,1976.00,1976.00,Gable,CompShg,MetalSd,MetalSd,None,0.00,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.00,Unf,0.00,284.00,1262.00,GasA,Ex,Y,SBrkr,1262.00,0.00,0.00,1262.00,0.00,1.00,2.00,0.00,3.00,1.00,TA,6.00,Typ,1.00,Attchd,1976.00,RFn,2.00,460.00,TA,TA,Y,298.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2007.00,WD,Normal,181500.00
3.00,60.00,RL,68.00,11250.00,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.00,5.00,2001.00,2002.00,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.00,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.00,Unf,0.00,434.00,920.00,GasA,Ex,Y,SBrkr,920.00,866.00,0.00,1786.00,1.00,0.00,2.00,1.00,3.00,1.00,Gd,6.00,Typ,1.00,Attchd,2001.00,RFn,2.00,608.00,TA,TA,Y,0.00,42.00,0.00,0.00,0.00,0.00,0.00,9.00,2008.00,WD,Normal,223500.00
4.00,70.00,RL,60.00,9550.00,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7.00,5.00,1915.00,1970.00,Gable,CompShg,Wd Sdng,Wd Shng,None,0.00,TA,TA,BrkTil,TA,Gd,No,ALQ,216.00,Unf,0.00,540.00,756.00,GasA,Gd,Y,SBrkr,961.00,756.00,0.00,1717.00,1.00,0.00,1.00,0.00,3.00,1.00,Gd,7.00,Typ,1.00,Detchd,1998.00,Unf,3.00,642.00,TA,TA,Y,0.00,35.00,272.00,0.00,0.00,0.00,0.00,2.00,2006.00,WD,Abnorml,140000.00
5.00,60.00,RL,84.00,14260.00,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.00,5.00,2000.00,2000.00,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.00,Gd,TA,PConc,Gd,TA,Av,GLQ,655.00,Unf,0.00,490.00,1145.00,GasA,Ex,Y,SBrkr,1145.00,1053.00,0.00,2198.00,1.00,0.00,2.00,1.00,4.00,1.00,Gd,9.00,Typ,1.00,Attchd,2000.00,RFn,3.00,836.00,TA,TA,Y,192.00,84.00,0.00,0.00,0.00,0.00,0.00,12.00,2008.00,WD,Normal,250000.00
6.00,50.00,RL,85.00,14115.00,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5.00,5.00,1993.00,1995.00,Gable,CompShg,VinylSd,VinylSd,None,0.00,TA,TA,Wood,Gd,TA,No,GLQ,732.00,Unf,0.00,64.00,796.00,GasA,Ex,Y,SBrkr,796.00,566.00,0.00,1362.00,1.00,0.00,1.00,1.00,1.00,1.00,TA,5.00,Typ,0.00,Attchd,1993.00,Unf,2.00,480.00,TA,TA,Y,40.00,30.00,0.00,320.00,0.00,0.00,700.00,10.00,2009.00,WD,Normal,143000.00
7.00,20.00,RL,75.00,10084.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8.00,5.00,2004.00,2005.00,Gable,CompShg,VinylSd,VinylSd,Stone,186.00,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.00,Unf,0.00,317.00,1686.00,GasA,Ex,Y,SBrkr,1694.00,0.00,0.00,1694.00,1.00,0.00,2.00,0.00,3.00,1.00,Gd,7.00,Typ,1.00,Attchd,2004.00,RFn,2.00,636.00,TA,TA,Y,255.00,57.00,0.00,0.00,0.00,0.00,0.00,8.00,2007.00,WD,Normal,307000.00
8.00,60.00,RL,0.00,10382.00,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7.00,6.00,1973.00,1973.00,Gable,CompShg,HdBoard,HdBoard,Stone,240.00,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.00,BLQ,32.00,216.00,1107.00,GasA,Ex,Y,SBrkr,1107.00,983.00,0.00,2090.00,1.00,0.00,2.00,1.00,3.00,1.00,TA,7.00,Typ,2.00,Attchd,1973.00,RFn,2.00,484.00,TA,TA,Y,235.00,204.00,228.00,0.00,0.00,0.00,350.00,11.00,2009.00,WD,Normal,200000.00
9.00,50.00,RM,51.00,6120.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7.00,5.00,1931.00,1950.00,Gable,CompShg,BrkFace,Wd Shng,None,0.00,TA,TA,BrkTil,TA,TA,No,Unf,0.00,Unf,0.00,952.00,952.00,GasA,Gd,Y,FuseF,1022.00,752.00,0.00,1774.00,0.00,0.00,2.00,0.00,2.00,2.00,TA,8.00,Min1,2.00,Detchd,1931.00,Unf,2.00,468.00,Fa,TA,Y,90.00,0.00,205.00,0.00,0.00,0.00,0.00,4.00,2008.00,WD,Abnorml,129900.00
10.00,190.00,RL,50.00,7420.00,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5.00,6.00,1939.00,1950.00,Gable,CompShg,MetalSd,MetalSd,None,0.00,TA,TA,BrkTil,TA,TA,No,GLQ,851.00,Unf,0.00,140.00,991.00,GasA,Ex,Y,SBrkr,1077.00,0.00,0.00,1077.00,1.00,0.00,1.00,0.00,2.00,2.00,TA,5.00,Typ,2.00,Attchd,1939.00,RFn,1.00,205.00,Gd,TA,Y,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,2008.00,WD,Normal,118000.00
11.00,20.00,RL,70.00,11200.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.00,5.00,1965.00,1965.00,Hip,CompShg,HdBoard,HdBoard,None,0.00,TA,TA,CBlock,TA,TA,No,Rec,906.00,Unf,0.00,134.00,1040.00,GasA,Ex,Y,SBrkr,1040.00,0.00,0.00,1040.00,1.00,0.00,1.00,0.00,3.00,1.00,TA,5.00,Typ,0.00,Detchd,1965.00,Unf,1.00,384.00,TA,TA,Y,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2008.00,WD,Normal,129500.00
12.00,60.00,RL,85.00,11924.00,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9.00,5.00,2005.00,2006.00,Hip,CompShg,WdShing,Wd Shng,Stone,286.00,Ex,TA,PConc,Ex,TA,No,GLQ,998.00,Unf,0.00,177.00,1175.00,GasA,Ex,Y,SBrkr,1182.00,1142.00,0.00,2324.00,1.00,0.00,3.00,0.00,4.00,1.00,Ex,11.00,Typ,2.00,BuiltIn,2005.00,Fin,3.00,736.00,TA,TA,Y,147.00,21.00,0.00,0.00,0.00,0.00,0.00,7.00,2006.00,New,Partial,345000.00
13.00,20.00,RL,0.00,12968.00,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.00,6.00,1962.00,1962.00,Hip,CompShg,HdBoard,Plywood,None,0.00,TA,TA,CBlock,TA,TA,No,ALQ,737.00,Unf,0.00,175.00,912.00,GasA,TA,Y,SBrkr,912.00,0.00,0.00,912.00,1.00,0.00,1.00,0.00,2.00,1.00,TA,4.00,Typ,0.00,Detchd,1962.00,Unf,1.00,352.00,TA,TA,Y,140.00,0.00,0.00,0.00,176.00,0.00,0.00,9.00,2008.00,WD,Normal,144000.00
14.00,20.00,RL,91.00,10652.00,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7.00,5.00,2006.00,2007.00,Gable,CompShg,VinylSd,VinylSd,Stone,306.00,Gd,TA,PConc,Gd,TA,Av,Unf,0.00,Unf,0.00,1494.00,1494.00,GasA,Ex,Y,SBrkr,1494.00,0.00,0.00,1494.00,0.00,0.00,2.00,0.00,3.00,1.00,Gd,7.00,Typ,1.00,Attchd,2006.00,RFn,3.00,840.00,TA,TA,Y,160.00,33.00,0.00,0.00,0.00,0.00,0.00,8.00,2007.00,New,Partial,279500.00
15.00,20.00,RL,0.00,10920.00,Pave,IR1,Lvl,AllPub,Corner,Gtl,0.0001mes,Norm,Norm,1Fam,1Story,6.00,5.00,1960.00,1960.00,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.00,TA,TA,CBlock,TA,TA,No,BLQ,733.00,Unf,0.00,520.00,1253.00,GasA,TA,Y,SBrkr,1253.00,0.00,0.00,1253.00,1.00,0.00,1.00,1.00,2.00,1.00,TA,5.00,Typ,1.00,Attchd,1960.00,RFn,1.00,352.00,TA,TA,Y,0.00,213.00,176.00,0.00,0.00,0.00,0.00,5.00,2008.00,WD,Normal,157000.00
16.00,45.00,RM,51.00,6120.00,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7.00,8.00,1929.00,2001.00,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.00,TA,TA,BrkTil,TA,TA,No,Unf,0.00,Unf,0.00,832.00,832.00,GasA,Ex,Y,FuseA,854.00,0.00,0.00,854.00,0.00,0.00,1.00,0.00,2.00,1.00,TA,5.00,Typ,0.00,Detchd,1991.00,Unf,2.00,576.00,TA,TA,Y,48.00,112.00,0.00,0.00,0.00,0.00,0.00,7.00,2007.00,WD,Normal,132000.00
17.00,20.00,RL,0.00,11241.00,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,0.0001mes,Norm,Norm,1Fam,1Story,6.00,7.00,1970.00,1970.00,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.00,TA,TA,CBlock,TA,TA,No,ALQ,578.00,Unf,0.00,426.00,1004.00,GasA,Ex,Y,SBrkr,1004.00,0.00,0.00,1004.00,1.00,0.00,1.00,0.00,2.00,1.00,TA,5.00,Typ,1.00,Attchd,1970.00,Fin,2.00,480.00,TA,TA,Y,0.00,0.00,0.00,0.00,0.00,0.00,700.00,3.00,2010.00,WD,Normal,149000.00
18.00,90.00,RL,72.00,10791.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4.00,5.00,1967.00,1967.00,Gable,CompShg,MetalSd,MetalSd,None,0.00,TA,TA,Slab,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GasA,TA,Y,SBrkr,1296.00,0.00,0.00,1296.00,0.00,0.00,2.00,0.00,2.00,2.00,TA,6.00,Typ,0.00,CarPort,1967.00,Unf,2.00,516.00,TA,TA,Y,0.00,0.00,0.00,0.00,0.00,0.00,500.00,10.00,2006.00,WD,Normal,90000.00
